,zip_codes,Estimate!!Total,25-44 Renters,%25-44 Renters,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
356,60178,8353,1338,0.16018197054950317,42.00638,-88.66896,Sycamore,IL,Illinois,True,,22413,121.6,17037,DeKalb,"{'17037':99.03,'17089':0.97}",DeKalb|Kane,17037|17089,False,False,America/Chicago
225,96738,2587,414,0.16003092385001932,19.90916,-155.7842,Waikoloa,HI,Hawaii,True,,6728,28.5,15001,Hawaii,{'15001':100},Hawaii,15001,False,False,Pacific/Honolulu
625,46383,16108,2576,0.1599205363794388,41.459140000000005,-87.00339,Valparaiso,IN,Indiana,True,,41698,175.7,18127,Porter,{'18127':100},Porter,18127,False,False,America/Chicago
194,2478,9771,1562,0.15986081260874016,42.396029999999996,-71.17951,Belmont,MA,Massachusetts,True,,26033,2050.7,25017,Middlesex,{'25017':100},Middlesex,25017,False,False,America/New_York
262,21017,2678,428,0.15982076176250934,39.47622,-76.23691,Belcamp,MD,Maryland,True,,6597,992.1,24025,Harford,{'24025':100},Harford,24025,False,False,America/New_York
268,33323,7038,1123,0.15956237567490764,26.15205,-80.31649,Fort Lauderdale,FL,Florida,True,,21195,1219.3,12011,Broward,{'12011':100},Broward,12011,False,False,America/New_York
611,75034,35506,5664,0.15952233425336562,33.151959999999995,-96.86035,Frisco,TX,Texas,True,,102646,560.3,48121,Denton,"{'48085':34.04,'48121':65.96}",Denton|Collin,48121|48085,False,False,America/Chicago
472,27615,18207,2902,0.1593892458944362,35.89798,-78.63613000000001,Raleigh,NC,North Carolina,True,,43461,842.2,37183,Wake,{'37183':100},Wake,37183,False,False,America/New_York
115,45334,855,136,0.15906432748538013,40.44538,-84.04431,Jackson Center,OH,Ohio,True,,2117,30.6,39149,Shelby,"{'39011':1.08,'39091':0.49,'39149':98.43}",Shelby|Auglaize|Logan,39149|39011|39091,False,False,America/New_York
448,97219,16724,2659,0.1589930638603205,45.453959999999995,-122.69981999999999,Portland,OR,Oregon,True,,42813,1270.3,41051,Multnomah,"{'41005':2.63,'41051':97.37}",Multnomah|Clackamas,41051|41005,False,False,America/Los_Angeles
110,65804,18010,2863,0.1589672404219878,37.14924,-93.25265999999999,Springfield,MO,Missouri,True,,37766,778.9,29077,Greene,{'29077':100},Greene,29077,False,False,America/Chicago
857,96146,454,72,0.15859030837004406,39.19846,-120.23903999999999,Olympic Valley,CA,California,True,,969,25.2,6061,Placer,{'06061':100},Placer,06061,False,False,America/Los_Angeles
718,28277,26695,4231,0.1584941000187301,35.05237,-80.81752,Charlotte,NC,North Carolina,True,,71605,984.4,37119,Mecklenburg,{'37119':100},Mecklenburg,37119,False,False,America/New_York
738,50845,303,48,0.15841584158415842,40.818709999999996,-94.35237,Diagonal,IA,Iowa,True,,861,2.9,19159,Ringgold,"{'19159':94.08,'19175':5.92}",Ringgold|Union,19159|19175,False,False,America/Chicago
591,19711,19401,3071,0.15829080975207463,39.714290000000005,-75.73966,Newark,DE,Delaware,True,,52033,723.6,10003,New Castle,{'10003':100},New Castle,10003,False,False,America/New_York
