,zip_codes,Estimate!!Total,Movers Total,%Movers,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
63,99703,8526,3305,0.3876378137461881,64.8328,-147.62322,Fort Wainwright,AK,Alaska,True,,8859,311.4,2090,Fairbanks North Star,{'02090':100},Fairbanks North Star,02090,False,False,America/Anchorage
64,47906,75242,28984,0.3852103878153159,40.486959999999996,-86.98648,West Lafayette,IN,Indiana,True,,75899,191.4,18157,Tippecanoe,"{'18157':99.75,'18171':0.15,'18181':0.09}",Tippecanoe|Warren|White,18157|18171|18181,False,False,America/Indiana/Indianapolis
65,97401,44583,17040,0.3822084651100195,44.068259999999995,-123.08181,Eugene,OR,Oregon,True,,44750,1706.6,41039,Lane,{'41039':100},Lane,41039,False,False,America/Los_Angeles
66,97201,18101,6898,0.3810839180155792,45.50777,-122.68975,Portland,OR,Oregon,True,,18145,2943.5,41051,Multnomah,{'41051':100},Multnomah,41051,False,False,America/Los_Angeles
67,42223,19966,7580,0.37964539717519785,36.62825,-87.46282,Fort Campbell,KY,Kentucky,True,,20501,505.6,21047,Christian,"{'21047':68.99,'47125':31.01}",Christian|Montgomery,21047|47125,False,False,America/Chicago
68,75039,18848,7050,0.37404499151103565,32.88752,-96.94225,Irving,TX,Texas,True,,19297,810.6,48113,Dallas,{'48113':100},Dallas,48113,False,False,America/Chicago
69,33606,19385,7233,0.3731235491359298,27.93218,-82.46488000000001,Tampa,FL,Florida,True,,19466,2087.4,12057,Hillsborough,{'12057':100},Hillsborough,12057,False,False,America/New_York
70,98109,28881,10642,0.3684775457913507,47.63159,-122.34416999999999,Seattle,WA,Washington,True,,29154,4011.1,53033,King,{'53033':100},King,53033,False,False,America/Los_Angeles
71,27514,32114,11763,0.3662888459861742,35.967209999999994,-79.04446999999999,Chapel Hill,NC,North Carolina,True,,32304,637.7,37135,Orange,{'37135':100},Orange,37135,False,False,America/New_York
72,29404,1921,699,0.36387298282144714,32.89864,-80.05028,Charleston Afb,SC,South Carolina,True,,1981,102.3,45019,Charleston,{'45019':100},Charleston,45019,False,False,America/New_York
73,16801,44451,16117,0.3625790195946098,40.77888,-77.84134,State College,PA,Pennsylvania,True,,44641,528.6,42027,Centre,{'42027':100},Centre,42027,False,False,America/New_York
74,60661,9694,3510,0.3620796368887972,41.883070000000004,-87.64401,Chicago,IL,Illinois,True,,9926,10120.5,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
75,99011,3000,1082,0.3606666666666667,47.618829999999996,-117.64811999999999,Fairchild Air Force Base,WA,Washington,True,,3118,163.8,53063,Spokane,{'53063':100},Spokane,53063,False,False,America/Los_Angeles
76,84056,3246,1167,0.35951940850277264,41.126490000000004,-111.99016999999999,Hill Afb,UT,Utah,True,,3336,135.6,49011,Davis,{'49011':100},Davis,49011,False,False,America/Denver
77,92122,47659,16907,0.354749365282528,32.85926,-117.17007,San Diego,CA,California,True,,48438,1059.1,6073,San Diego,{'06073':100},San Diego,06073,False,False,America/Los_Angeles
78,14802,4247,1506,0.3546032493524841,42.25326,-77.78926,Alfred,NY,New York,True,,4251,1534.8,36003,Allegany,{'36003':100},Allegany,36003,False,False,America/New_York
79,99702,2952,1037,0.35128726287262874,64.64824,-147.04901,Eielson Afb,AK,Alaska,True,,3006,63.3,2090,Fairbanks North Star,{'02090':100},Fairbanks North Star,02090,False,False,America/Anchorage
80,94304,3850,1345,0.34935064935064936,37.381890000000006,-122.17392,Palo Alto,CA,California,True,,3902,215.4,6085,Santa Clara,{'06085':100},Santa Clara,06085,False,False,America/Los_Angeles
81,30605,41024,14282,0.3481376755070203,33.90656,-83.32327,Athens,GA,Georgia,True,,41451,421.0,13059,Clarke,"{'13059':99.48,'13219':0.52}",Clarke|Oconee,13059|13219,False,False,America/New_York
82,73134,5469,1898,0.3470469921375023,35.61422,-97.56826,Oklahoma City,OK,Oklahoma,True,,5573,400.7,40109,Oklahoma,{'40109':100},Oklahoma,40109,False,False,America/Chicago
83,22060,9670,3348,0.34622543950361945,38.705420000000004,-77.1564,Fort Belvoir,VA,Virginia,True,,9858,260.5,51059,Fairfax,{'51059':100},Fairfax,51059,False,False,America/New_York
84,55805,9513,3291,0.34594765058341215,46.800779999999996,-92.09564,Duluth,MN,Minnesota,True,,9556,2788.6,27137,St. Louis,{'27137':100},St. Louis,27137,False,False,America/Chicago
85,24060,55301,19055,0.3445688143071554,37.25676,-80.42107,Blacksburg,VA,Virginia,True,,55747,154.9,51121,Montgomery,{'51121':100},Montgomery,51121,False,False,America/New_York
86,53726,5328,1835,0.3444069069069069,43.06975,-89.42264,Madison,WI,Wisconsin,True,,5334,4018.1,55025,Dane,{'55025':100},Dane,55025,False,False,America/Chicago
87,32601,18471,6361,0.3443776731091982,29.64886,-82.325,Gainesville,FL,Florida,True,,18579,1579.0,12001,Alachua,{'12001':100},Alachua,12001,False,False,America/New_York
88,1002,29904,10160,0.33975387907972177,42.37492,-72.4621,Amherst,MA,Massachusetts,True,,30066,203.7,25015,Hampshire,"{'25011':0.97,'25015':99.03}",Hampshire|Franklin,25015|25011,False,False,America/New_York
89,27605,5456,1852,0.33944281524926684,35.79067,-78.65459,Raleigh,NC,North Carolina,True,,5490,1758.0,37183,Wake,{'37183':100},Wake,37183,False,False,America/New_York
90,33762,8044,2728,0.3391347588264545,27.896829999999998,-82.67971,Clearwater,FL,Florida,True,,8093,447.9,12103,Pinellas,{'12103':100},Pinellas,12103,False,False,America/New_York
91,58204,2244,759,0.3382352941176471,47.95497,-97.38681,Grand Forks Afb,ND,North Dakota,True,,2347,105.7,38035,Grand Forks,{'38035':100},Grand Forks,38035,False,False,America/Chicago
92,66502,45080,15232,0.337888198757764,39.1512,-96.53124,Manhattan,KS,Kansas,True,,45697,73.8,20161,Riley,"{'20061':0.13,'20149':7.25,'20161':92.54,'20197':0.08}",Riley|Pottawatomie|Geary|Wabaunsee,20161|20149|20061|20197,False,False,America/Chicago
93,1079,658,222,0.3373860182370821,42.19437,-72.33014,Thorndike,MA,Massachusetts,True,,658,237.5,25013,Hampden,{'25013':100},Hampden,25013,False,False,America/New_York
94,60606,3065,1026,0.33474714518760196,41.88195,-87.63731,Chicago,IL,Illinois,True,,3101,4051.1,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
95,37212,20849,6900,0.33095112475418487,36.13388,-86.80111,Nashville,TN,Tennessee,True,,21031,2804.7,47037,Davidson,{'47037':100},Davidson,47037,False,False,America/Chicago
96,20762,2818,923,0.3275372604684173,38.80731,-76.87482,Andrews Air Force Base,MD,Maryland,True,,2964,194.8,24033,Prince George's,{'24033':100},Prince George's,24033,False,False,America/New_York
97,1731,2019,659,0.32639920752847945,42.45675,-71.27951999999999,Hanscom Afb,MA,Massachusetts,True,,2061,680.4,25017,Middlesex,{'25017':100},Middlesex,25017,False,False,America/New_York
98,15203,9767,3185,0.32609808538957713,40.42631,-79.97641,Pittsburgh,PA,Pennsylvania,True,,9777,2602.4,42003,Allegheny,{'42003':100},Allegheny,42003,False,False,America/New_York
99,96130,20294,6602,0.32531782792943725,40.548759999999994,-120.68498999999998,Susanville,CA,California,True,,20553,18.6,6035,Lassen,{'06035':100},Lassen,06035,False,False,America/Los_Angeles
100,78701,9422,3058,0.32455954149862026,30.270490000000002,-97.74235,Austin,TX,Texas,True,,9427,1621.8,48453,Travis,{'48453':100},Travis,48453,False,False,America/Chicago
101,98122,38476,12486,0.3245139827424888,47.611509999999996,-122.2918,Seattle,WA,Washington,True,,38620,5250.8,53033,King,{'53033':100},King,53033,False,False,America/Los_Angeles
102,27858,59068,19141,0.32405024717275005,35.532070000000004,-77.29789,Greenville,NC,North Carolina,True,,59652,357.5,37147,Pitt,{'37147':100},Pitt,37147,False,False,America/New_York
103,98327,9207,2952,0.3206256109481916,47.10125,-122.66073,Dupont,WA,Washington,True,,9431,466.2,53053,Pierce,{'53053':100},Pierce,53053,False,False,America/Los_Angeles
104,80045,889,285,0.3205849268841395,39.74754,-104.83861,Aurora,CO,Colorado,True,,889,159.6,8001,Adams,{'08001':100},Adams,08001,False,False,America/Denver
