,NAME,Estimate!!Total,Estimate!!Total!!Owner occupied,Estimate!!Total!!Owner occupied!!Householder 15 to 24 years,Estimate!!Total!!Owner occupied!!Householder 25 to 34 years,Estimate!!Total!!Owner occupied!!Householder 35 to 44 years,Estimate!!Total!!Owner occupied!!Householder 45 to 54 years,Estimate!!Total!!Owner occupied!!Householder 55 to 59 years,Estimate!!Total!!Owner occupied!!Householder 60 to 64 years,Estimate!!Total!!Owner occupied!!Householder 65 to 74 years,Estimate!!Total!!Owner occupied!!Householder 75 to 84 years,Estimate!!Total!!Owner occupied!!Householder 85 years and over,Estimate!!Total!!Renter occupied,Estimate!!Total!!Renter occupied!!Householder 15 to 24 years,Estimate!!Total!!Renter occupied!!Householder 25 to 34 years,Estimate!!Total!!Renter occupied!!Householder 35 to 44 years,Estimate!!Total!!Renter occupied!!Householder 45 to 54 years,Estimate!!Total!!Renter occupied!!Householder 55 to 59 years,Estimate!!Total!!Renter occupied!!Householder 60 to 64 years,Estimate!!Total!!Renter occupied!!Householder 65 to 74 years,Estimate!!Total!!Renter occupied!!Householder 75 to 84 years,Estimate!!Total!!Renter occupied!!Householder 85 years and over,zip code tabulation area,15-34 Renters,%15-34 Renters
79,ZCTA5 20006,563,37,3,7,14,0,0,8,5,0,0,526,209,120,85,31,8,29,23,6,15,20006,329,0.5843694493783304
80,ZCTA5 76311,635,6,0,0,0,6,0,0,0,0,0,629,44,325,129,55,44,0,20,6,6,76311,369,0.5811023622047244
81,ZCTA5 64105,3322,369,8,119,110,53,23,26,16,14,0,2953,563,1360,256,302,151,85,130,59,47,64105,1923,0.5788681517158338
82,ZCTA5 06510,1541,85,6,26,8,35,0,0,10,0,0,1456,300,590,200,183,79,65,39,0,0,6510,890,0.5775470473718365
83,ZCTA5 76201,9927,1969,53,259,160,462,189,174,306,246,120,7958,3128,2586,756,417,335,141,323,178,94,76201,5714,0.5756018938249219
84,ZCTA5 92310,2500,2,0,0,0,0,2,0,0,0,0,2498,451,986,810,161,25,0,0,65,0,92310,1437,0.5748
85,ZCTA5 75201,9532,1123,0,170,189,237,84,174,243,26,0,8409,1232,4221,1307,652,538,219,123,95,22,75201,5453,0.5720730172052035
86,ZCTA5 30905,997,4,0,0,4,0,0,0,0,0,0,993,174,393,232,158,15,0,8,13,0,30905,567,0.5687061183550652
87,ZCTA5 23665,1358,26,0,0,17,0,9,0,0,0,0,1332,279,493,390,141,16,13,0,0,0,23665,772,0.5684830633284241
88,ZCTA5 08640,878,5,0,5,0,0,0,0,0,0,0,873,108,391,324,27,19,4,0,0,0,8640,499,0.5683371298405467
89,ZCTA5 63102,983,0,0,0,0,0,0,0,0,0,0,983,121,436,132,79,103,15,97,0,0,63102,557,0.5666327568667345
90,ZCTA5 87116,1226,22,0,9,0,0,0,13,0,0,0,1204,236,458,242,201,19,34,14,0,0,87116,694,0.566068515497553
91,ZCTA5 52801,661,6,0,0,0,6,0,0,0,0,0,655,99,274,38,47,50,30,61,52,4,52801,373,0.5642965204236006
92,ZCTA5 47901,1975,300,21,44,31,56,38,9,94,4,3,1675,413,697,226,97,119,50,37,17,19,47901,1110,0.5620253164556962
93,ZCTA5 77801,6126,963,67,129,112,212,137,89,101,103,13,5163,1840,1579,788,477,147,127,150,21,34,77801,3419,0.5581129611492002
94,ZCTA5 71110,977,20,0,0,20,0,0,0,0,0,0,957,169,376,247,110,30,2,23,0,0,71110,545,0.5578300921187308
95,ZCTA5 15213,9993,2560,171,203,185,286,187,181,642,367,338,7433,3881,1642,390,299,233,309,236,229,214,15213,5523,0.5526868808165716
96,ZCTA5 06103,1271,154,0,7,10,0,15,28,59,35,0,1117,172,530,171,169,35,18,14,0,8,6103,702,0.5523210070810386
97,ZCTA5 67202,1036,115,0,0,35,7,62,7,0,4,0,921,145,427,61,41,159,16,72,0,0,67202,572,0.5521235521235521
98,ZCTA5 68508,5134,517,33,57,80,104,55,33,89,47,19,4617,1612,1221,537,364,304,245,229,84,21,68508,2833,0.5518114530580444
99,ZCTA5 50014,12311,3999,66,479,647,833,554,382,593,302,143,8312,5000,1767,559,639,64,115,70,73,25,50014,6767,0.5496710259117862
100,ZCTA5 29201,8049,2134,74,524,296,272,184,196,370,153,65,5915,2996,1407,391,274,264,147,237,150,49,29201,4403,0.5470244750900733
101,ZCTA5 99163,12037,3553,125,540,709,690,304,429,454,225,77,8484,4259,2323,826,301,197,160,204,110,104,99163,6582,0.5468139901968929
102,ZCTA5 85281,23822,4752,259,740,681,712,571,535,709,384,161,19070,6625,6324,2196,1768,624,692,553,219,69,85281,12949,0.5435731676601461
103,ZCTA5 20762,795,0,0,0,0,0,0,0,0,0,0,795,76,355,195,131,32,6,0,0,0,20762,431,0.5421383647798742
104,ZCTA5 92278,298,0,0,0,0,0,0,0,0,0,0,298,0,161,103,34,0,0,0,0,0,92278,161,0.540268456375839
105,ZCTA5 11109,2954,291,0,24,16,152,83,16,0,0,0,2663,134,1459,704,284,17,65,0,0,0,11109,1593,0.539268788083954
106,ZCTA5 23801,1352,31,0,26,5,0,0,0,0,0,0,1321,30,693,456,102,17,16,7,0,0,23801,723,0.5347633136094675
107,ZCTA5 61801,11568,3766,206,465,434,599,424,452,609,332,245,7802,3609,2514,688,347,240,204,146,41,13,61801,6123,0.529304979253112
108,ZCTA5 32403,810,0,0,0,0,0,0,0,0,0,0,810,79,349,215,115,18,12,17,5,0,32403,428,0.528395061728395
109,ZCTA5 75226,1785,114,0,0,0,0,19,20,75,0,0,1671,172,760,266,334,69,24,31,15,0,75226,932,0.5221288515406163
110,ZCTA5 50309,4293,446,34,149,126,62,19,0,56,0,0,3847,746,1492,477,434,184,141,281,76,16,50309,2238,0.5213137665967854
111,ZCTA5 95134,11419,1885,17,180,428,453,353,117,215,122,0,9534,717,5233,2155,849,212,200,102,51,15,95134,5950,0.5210613889132149
112,ZCTA5 32601,7628,2163,125,194,333,535,166,246,287,210,67,5465,2305,1660,470,424,212,141,235,18,0,32601,3965,0.5197954902988988
113,ZCTA5 48104,16436,6174,152,610,932,1115,754,563,1254,582,212,10262,5423,3105,601,400,230,201,190,96,16,48104,8528,0.5188610367486006
114,ZCTA5 76155,2888,0,0,0,0,0,0,0,0,0,0,2888,204,1294,562,576,138,39,69,0,6,76155,1498,0.5186980609418282
115,ZCTA5 43202,9445,2778,25,483,616,507,289,271,473,86,28,6667,1501,3396,827,435,142,168,123,23,52,43202,4897,0.5184753838009529
116,ZCTA5 60602,602,225,35,20,120,50,0,0,0,0,0,377,27,285,65,0,0,0,0,0,0,60602,312,0.5182724252491694
117,ZCTA5 80521,13145,4908,171,622,1017,794,583,536,735,300,150,8237,4110,2664,601,302,127,149,139,111,34,80521,6774,0.5153290224419932
118,ZCTA5 02113,4333,931,8,173,236,118,47,60,159,93,37,3402,332,1899,489,178,209,39,123,73,60,2113,2231,0.514885760443111
119,ZCTA5 78741,21474,3309,150,682,575,794,147,150,553,210,48,18165,3583,7463,2881,2006,942,645,554,91,0,78741,11046,0.5143894942721431
120,ZCTA5 98109,16400,4082,13,730,1001,545,258,465,632,290,148,12318,1597,6837,1863,714,220,440,311,138,198,98109,8434,0.5142682926829268
121,ZCTA5 93405,8574,2945,59,97,304,444,294,354,692,426,275,5629,3449,929,314,474,107,78,139,76,63,93405,4378,0.5106134826218801
122,ZCTA5 68102,3981,521,10,58,128,104,101,47,73,0,0,3460,680,1348,521,287,231,144,172,62,15,68102,2028,0.5094197437829691
123,ZCTA5 25703,2017,485,0,42,38,40,64,58,126,90,27,1532,739,287,191,158,58,42,46,11,0,25703,1026,0.5086762518591968
124,ZCTA5 31098,1016,5,0,5,0,0,0,0,0,0,0,1011,111,403,270,148,32,19,13,8,7,31098,514,0.5059055118110236
125,ZCTA5 62225,1344,19,0,0,16,3,0,0,0,0,0,1325,169,510,451,148,26,21,0,0,0,62225,679,0.5052083333333334
126,ZCTA5 65201,16434,5033,35,647,808,806,615,590,1026,339,167,11401,5215,3064,1058,674,347,371,345,215,112,65201,8279,0.5037726664232688
127,ZCTA5 75204,17390,3558,45,907,739,545,368,272,515,133,34,13832,2202,6551,2383,1043,692,359,424,167,11,75204,8753,0.5033352501437608
128,ZCTA5 75202,1344,291,0,81,37,86,59,0,10,18,0,1053,118,556,196,107,44,27,5,0,0,75202,674,0.5014880952380952
129,ZCTA5 77054,12614,1950,130,473,322,264,112,252,257,140,0,10664,1989,4326,2052,1099,380,419,310,36,53,77054,6315,0.5006342159505311
130,ZCTA5 60661,5911,1716,44,475,496,366,122,78,135,0,0,4195,508,2448,887,243,51,29,18,11,0,60661,2956,0.5000845880561665
131,ZCTA5 44115,3966,319,20,46,34,49,37,62,52,19,0,3647,737,1245,559,331,301,245,176,42,11,44115,1982,0.49974785678265254
132,ZCTA5 10005,4374,859,3,238,317,164,84,0,25,28,0,3515,374,1797,1009,165,109,32,29,0,0,10005,2171,0.49634202103337904
133,ZCTA5 10006,1794,306,12,47,109,44,59,35,0,0,0,1488,74,815,316,132,108,43,0,0,0,10006,889,0.4955406911928651
134,ZCTA5 80203,14409,2886,7,668,747,402,277,275,407,89,14,11523,975,6160,1568,873,647,393,706,150,51,80203,7135,0.49517662572003607
135,ZCTA5 98105,16564,5617,58,469,1076,1179,511,577,1257,405,85,10947,4470,3696,993,539,314,313,241,172,209,98105,8166,0.4929968606616759
136,ZCTA5 65806,6042,842,43,129,89,171,85,17,209,84,15,5200,1734,1235,476,750,351,226,297,105,26,65806,2969,0.491393578285336
137,ZCTA5 84102,9079,2322,70,257,537,374,309,260,321,127,67,6757,1823,2603,797,436,231,233,301,152,181,84102,4426,0.48749862319638726
138,ZCTA5 07310,5776,894,0,218,312,203,77,50,30,4,0,4882,522,2292,1148,444,145,212,101,18,0,7310,2814,0.4871883656509695
139,ZCTA5 19107,7371,1582,32,269,274,325,92,142,286,126,36,5789,507,3075,695,456,206,184,241,247,178,19107,3582,0.48595848595848595
140,ZCTA5 46204,3760,706,15,246,90,82,91,89,75,18,0,3054,464,1361,315,291,222,157,148,96,0,46204,1825,0.4853723404255319
141,ZCTA5 74103,293,4,0,4,0,0,0,0,0,0,0,289,29,113,39,27,40,21,20,0,0,74103,142,0.48464163822525597
142,ZCTA5 23604,785,19,9,5,5,0,0,0,0,0,0,766,58,322,296,67,8,10,0,0,5,23604,380,0.4840764331210191
143,ZCTA5 19102,2978,890,21,160,114,234,15,66,136,86,58,2088,222,1212,200,93,18,31,202,73,37,19102,1434,0.48153122901276024
144,ZCTA5 66027,1488,0,0,0,0,0,0,0,0,0,0,1488,94,621,619,135,11,8,0,0,0,66027,715,0.48051075268817206
145,ZCTA5 78751,7605,2297,25,290,700,556,93,170,313,92,58,5308,857,2785,772,460,116,182,118,18,0,78751,3642,0.4788954635108481
146,ZCTA5 80302,11888,4581,52,198,497,914,480,840,988,448,164,7307,3631,2057,533,333,187,145,268,77,76,80302,5688,0.4784656796769852
147,ZCTA5 12210,5355,933,0,84,128,201,92,131,165,97,35,4422,868,1691,476,725,157,253,188,64,0,12210,2559,0.4778711484593838
148,ZCTA5 33621,563,0,0,0,0,0,0,0,0,0,0,563,19,250,200,53,41,0,0,0,0,33621,269,0.477797513321492
149,ZCTA5 44114,3858,226,0,12,52,57,29,12,52,3,9,3632,677,1159,268,523,282,346,266,86,25,44114,1836,0.4758942457231726
150,ZCTA5 80246,7495,1434,0,213,238,265,143,206,189,139,41,6061,802,2763,743,743,313,260,180,182,75,80246,3565,0.47565043362241494
151,ZCTA5 43215,9188,1797,30,517,422,225,238,126,202,10,27,7391,825,3544,901,705,195,388,421,255,157,43215,4369,0.4755115367871136
152,ZCTA5 20755,2715,41,30,0,6,5,0,0,0,0,0,2674,244,1042,898,329,77,48,29,7,0,20755,1286,0.4736648250460405
153,ZCTA5 19127,2529,1117,4,291,214,206,85,100,136,44,37,1412,361,836,45,80,41,9,40,0,0,19127,1197,0.47330960854092524
154,ZCTA5 73102,1134,85,0,8,0,9,12,18,21,17,0,1049,121,415,126,117,74,98,68,26,4,73102,536,0.47266313932980597
155,ZCTA5 64106,3881,642,35,177,172,99,67,42,37,8,5,3239,410,1422,456,427,164,92,195,40,33,64106,1832,0.4720432878124195
156,ZCTA5 40121,2451,21,0,21,0,0,0,0,0,0,0,2430,304,852,753,341,99,31,17,18,15,40121,1156,0.47164422684618523
157,ZCTA5 48226,4045,498,15,122,64,142,25,30,82,18,0,3547,442,1464,354,299,204,227,399,125,33,48226,1906,0.47119901112484547
158,ZCTA5 73104,1230,306,8,65,40,37,37,37,55,23,4,924,138,441,122,94,75,32,18,4,0,73104,579,0.47073170731707314
159,ZCTA5 98121,12215,2772,0,465,546,667,205,388,328,173,0,9443,943,4805,1509,855,310,364,350,117,190,98121,5748,0.47056897257470326
160,ZCTA5 79410,3939,1468,59,139,148,397,134,131,220,132,108,2471,1155,697,214,214,61,25,92,13,0,79410,1852,0.47017009393247017
161,ZCTA5 53202,15443,3363,70,768,610,458,362,301,554,210,30,12080,1822,5433,1108,852,574,677,791,467,356,53202,7255,0.46979213883312826
162,ZCTA5 40508,9515,2316,68,261,323,240,342,326,573,94,89,7199,2792,1662,861,706,393,228,300,215,42,40508,4454,0.4681029952706253
163,ZCTA5 14802,351,125,0,26,10,19,10,5,30,21,4,226,136,28,26,9,4,11,6,0,6,14802,164,0.4672364672364672
164,ZCTA5 13637,1721,459,2,42,62,136,80,48,80,7,2,1262,301,503,294,73,3,47,16,8,17,13637,804,0.4671702498547356
165,ZCTA5 95616,17381,6109,106,254,604,1060,717,913,1380,749,326,11272,5546,2569,1282,572,225,175,240,417,246,95616,8115,0.46688913181059777
166,ZCTA5 85719,17495,4762,151,458,543,862,616,615,884,371,262,12733,4985,3175,1517,1221,415,578,485,224,133,85719,8160,0.46641897685052874
167,ZCTA5 10018,5095,462,14,55,125,88,93,0,87,0,0,4633,262,2099,1083,494,176,153,207,140,19,10018,2361,0.4633954857703631
168,ZCTA5 64111,10127,2626,36,482,429,507,303,228,402,136,103,7501,1264,3414,1075,799,222,293,242,124,68,64111,4678,0.4619334452453836
169,ZCTA5 37203,7694,1602,29,617,230,97,245,85,170,98,31,6092,834,2709,790,694,383,261,330,87,4,37203,3543,0.46048869248765273
