,NAME,Estimate!!Total,Estimate!!Total!!Owner occupied,Estimate!!Total!!Owner occupied!!Householder 15 to 24 years,Estimate!!Total!!Owner occupied!!Householder 25 to 34 years,Estimate!!Total!!Owner occupied!!Householder 35 to 44 years,Estimate!!Total!!Owner occupied!!Householder 45 to 54 years,Estimate!!Total!!Owner occupied!!Householder 55 to 59 years,Estimate!!Total!!Owner occupied!!Householder 60 to 64 years,Estimate!!Total!!Owner occupied!!Householder 65 to 74 years,Estimate!!Total!!Owner occupied!!Householder 75 to 84 years,Estimate!!Total!!Owner occupied!!Householder 85 years and over,Estimate!!Total!!Renter occupied,Estimate!!Total!!Renter occupied!!Householder 15 to 24 years,Estimate!!Total!!Renter occupied!!Householder 25 to 34 years,Estimate!!Total!!Renter occupied!!Householder 35 to 44 years,Estimate!!Total!!Renter occupied!!Householder 45 to 54 years,Estimate!!Total!!Renter occupied!!Householder 55 to 59 years,Estimate!!Total!!Renter occupied!!Householder 60 to 64 years,Estimate!!Total!!Renter occupied!!Householder 65 to 74 years,Estimate!!Total!!Renter occupied!!Householder 75 to 84 years,Estimate!!Total!!Renter occupied!!Householder 85 years and over,zip code tabulation area,15-34 Renters,%15-34 Renters
3045,ZCTA5 90016,17087,6515,64,304,1001,1665,786,639,1186,555,315,10572,524,2333,2575,2011,849,817,951,352,160,90016,2857,0.1672031368876924
3046,ZCTA5 98226,17434,10805,54,1004,2009,1993,1194,1245,1979,986,341,6629,1442,1473,1105,656,305,304,618,330,396,98226,2915,0.16720201904324883
3047,ZCTA5 60651,19653,8607,72,583,1134,1886,1197,988,1719,862,166,11046,659,2627,2780,1870,895,735,803,570,107,60651,3286,0.16720093624383045
3048,ZCTA5 76164,4379,2498,25,166,179,665,294,285,505,275,104,1881,151,581,476,304,108,137,74,31,19,76164,732,0.16716145238638958
3049,ZCTA5 27405,18803,8764,54,773,1605,1848,1257,862,1308,817,240,10039,410,2733,2320,1571,854,629,991,314,217,27405,3143,0.16715417752486306
3050,ZCTA5 19703,5852,3100,10,324,545,579,415,373,452,298,104,2752,111,867,548,394,195,208,249,121,59,19703,978,0.16712235133287764
3051,ZCTA5 24325,377,254,0,0,28,48,24,29,55,60,10,123,31,32,0,7,0,0,15,38,0,24325,63,0.16710875331564987
3052,ZCTA5 37917,11127,5178,69,608,680,866,533,651,1015,471,285,5949,535,1324,1057,1141,419,549,585,268,71,37917,1859,0.16707108834366854
3053,ZCTA5 11218,24866,9106,28,829,1769,1911,1045,1058,1681,553,232,15760,446,3708,3958,2545,1157,1035,1596,901,414,11218,4154,0.16705541703530927
3054,ZCTA5 63834,2179,1192,2,108,159,168,118,102,366,97,72,987,70,294,182,201,63,65,91,20,1,63834,364,0.16704910509407986
3055,ZCTA5 20912,9382,3918,0,228,701,1000,494,686,592,121,96,5464,187,1380,1517,1114,490,164,326,188,98,20912,1567,0.16702195693881902
3056,ZCTA5 76483,485,318,4,23,12,45,27,70,57,61,19,167,43,38,29,41,0,6,6,4,0,76483,81,0.1670103092783505
3057,ZCTA5 85224,16856,9126,63,1065,1787,2211,1140,990,1315,481,74,7730,533,2282,1892,993,588,426,511,341,164,85224,2815,0.16700284765068818
3058,ZCTA5 90018,16426,4996,63,318,813,1181,730,579,706,413,193,11430,383,2360,2418,2239,1187,927,1184,473,259,90018,2743,0.16699135516863509
3059,ZCTA5 89081,10845,6308,142,1019,1487,1323,525,661,1044,96,11,4537,478,1333,1138,967,174,227,115,98,7,89081,1811,0.16698939603503918
3060,ZCTA5 95374,527,278,0,18,34,54,31,56,27,39,19,249,3,85,71,55,0,24,5,6,0,95374,88,0.16698292220113853
3061,ZCTA5 64503,4923,3259,22,321,444,613,374,308,585,478,114,1664,233,589,284,188,91,156,93,25,5,64503,822,0.16697135892748324
3062,ZCTA5 03301,13178,6847,0,578,1021,1724,882,703,1205,529,205,6331,565,1635,872,926,420,457,564,444,448,3301,2200,0.1669449081803005
3063,ZCTA5 87021,1222,776,15,86,82,155,125,50,95,151,17,446,15,189,183,38,21,0,0,0,0,87021,204,0.16693944353518822
3064,ZCTA5 90001,13815,4966,16,343,801,1215,748,504,792,374,173,8849,333,1973,2385,2060,854,550,431,181,82,90001,2306,0.16692001447701774
3065,ZCTA5 78232,15536,8960,0,796,1184,1697,957,1152,1902,887,385,6576,727,1866,1378,880,534,349,458,259,125,78232,2593,0.16690267765190525
3066,ZCTA5 93640,2847,1012,5,133,189,292,161,65,59,94,14,1835,44,431,582,320,148,168,92,50,0,93640,475,0.16684229012996135
3067,ZCTA5 30240,10531,6245,16,468,927,1389,608,641,1288,690,218,4286,492,1265,577,710,259,330,357,153,143,30240,1757,0.16684075586364067
3068,ZCTA5 08618,13004,5790,51,399,857,1325,529,840,1040,556,193,7214,504,1665,1060,1327,725,627,753,390,163,8618,2169,0.16679483235927406
3069,ZCTA5 03263,1691,975,0,61,143,266,160,75,190,34,46,716,65,217,142,76,55,78,57,12,14,3263,282,0.1667652276759314
3070,ZCTA5 17701,17706,9981,39,1169,1219,2051,1219,1125,1896,858,405,7725,832,2120,1075,1055,688,354,662,371,568,17701,2952,0.16672314469671298
3071,ZCTA5 51104,8512,5376,120,865,791,1040,439,658,868,438,157,3136,521,898,531,227,262,152,141,184,220,51104,1419,0.16670582706766918
3072,ZCTA5 32836,7145,4758,0,276,923,1070,601,699,846,267,76,2387,131,1060,458,420,91,80,147,0,0,32836,1191,0.16668999300209936
3073,ZCTA5 83204,7188,4502,43,525,634,803,482,604,799,441,171,2686,392,806,518,507,74,93,234,37,25,83204,1198,0.16666666666666666
3074,ZCTA5 44510,936,407,0,0,53,72,63,0,158,61,0,529,39,117,119,105,97,0,52,0,0,44510,156,0.16666666666666666
3075,ZCTA5 84770,14682,8447,81,724,1202,936,564,964,1925,1462,589,6235,860,1587,967,858,404,383,647,260,269,84770,2447,0.16666666666666666
3076,ZCTA5 48103,23429,15775,100,1460,2796,3192,1637,1672,3074,1245,599,7654,1058,2845,1236,858,403,253,465,259,277,48103,3903,0.16658841606555977
3077,ZCTA5 07828,5949,3020,0,158,567,700,503,410,447,197,38,2929,210,781,589,504,316,153,284,73,19,7828,991,0.16658261892755086
3078,ZCTA5 46516,11666,6599,38,643,1190,1480,644,770,1051,538,245,5067,423,1520,809,981,437,326,381,104,86,46516,1943,0.1665523744213955
3079,ZCTA5 49001,8583,4426,100,684,1019,728,579,422,550,223,121,4157,410,1019,900,587,309,347,298,96,191,49001,1429,0.16649190259815916
3080,ZCTA5 01841,14795,4303,12,471,898,1288,335,488,539,160,112,10492,556,1906,2620,2111,913,758,940,486,202,1841,2462,0.16640757012504223
3081,ZCTA5 99013,643,417,4,32,80,133,30,48,69,21,0,226,72,35,19,18,2,35,13,32,0,99013,107,0.16640746500777606
3082,ZCTA5 57059,607,433,0,26,34,100,32,31,82,82,46,174,48,53,0,16,8,16,0,14,19,57059,101,0.16639209225700163
3083,ZCTA5 79121,2579,1723,0,82,145,283,219,298,347,247,102,856,59,370,68,103,59,46,77,74,0,79121,429,0.16634354400930593
3084,ZCTA5 74132,3559,2300,5,230,408,472,272,185,397,271,60,1259,135,457,193,121,133,84,25,47,64,74132,592,0.16633885923012082
3085,ZCTA5 23803,15162,7680,18,602,862,1511,1027,999,1393,819,449,7482,900,1621,1238,1297,657,613,712,270,174,23803,2521,0.16627094050916766
3086,ZCTA5 33181,7435,2832,0,312,362,582,359,288,479,344,106,4603,322,914,1214,1088,363,175,345,135,47,33181,1236,0.16624075319435105
3087,ZCTA5 93036,12879,6660,26,633,1098,1556,762,915,916,499,255,6219,241,1900,1673,1327,352,244,340,81,61,93036,2141,0.16623961487693145
3088,ZCTA5 73942,4152,2646,27,353,492,441,330,278,432,214,79,1506,143,547,247,128,274,115,23,8,21,73942,690,0.16618497109826588
3089,ZCTA5 78560,1354,890,0,205,150,89,48,132,52,121,93,464,26,199,89,47,43,46,14,0,0,78560,225,0.16617429837518463
3090,ZCTA5 97812,337,210,0,25,15,63,8,28,43,20,8,127,0,56,25,26,0,15,5,0,0,97812,56,0.1661721068249258
3091,ZCTA5 44055,7488,3656,0,184,502,674,467,471,668,473,217,3832,375,869,883,637,229,268,307,264,0,44055,1244,0.16613247863247863
3092,ZCTA5 31749,909,581,0,71,109,143,51,63,97,33,14,328,21,130,86,21,40,5,14,8,3,31749,151,0.16611661166116612
3093,ZCTA5 98373,9072,5150,17,473,1013,1108,699,570,809,354,107,3922,359,1148,1060,621,203,143,294,94,0,98373,1507,0.16611552028218696
3094,ZCTA5 93648,4299,1827,49,117,343,517,210,159,281,124,27,2472,109,605,648,481,226,62,234,74,33,93648,714,0.16608513607815772
3095,ZCTA5 23452,22509,13840,121,1801,2322,2380,1619,1524,2371,1322,380,8669,930,2808,1433,1485,635,389,495,332,162,23452,3738,0.16606690657070505
3096,ZCTA5 94542,4330,2860,0,227,488,644,349,277,582,266,27,1470,229,490,366,257,43,8,77,0,0,94542,719,0.16605080831408775
3097,ZCTA5 98037,10865,6369,22,579,1006,1439,948,782,937,505,151,4496,527,1277,1209,488,286,179,310,136,84,98037,1804,0.1660377358490566
3098,ZCTA5 28347,524,335,41,9,100,54,22,41,51,13,4,189,3,84,71,16,3,2,10,0,0,28347,87,0.16603053435114504
3099,ZCTA5 80219,21560,11455,119,1400,2215,2505,1303,1025,1567,709,612,10105,698,2881,2713,1833,556,451,552,316,105,80219,3579,0.16600185528756958
3100,ZCTA5 33805,9018,4223,111,192,387,659,543,530,912,636,253,4795,379,1118,1084,741,408,367,422,250,26,33805,1497,0.16600133067198936
3101,ZCTA5 11435,18874,6868,26,537,1042,1484,1017,837,1086,628,211,12006,258,2875,2710,2291,1216,896,911,572,277,11435,3133,0.16599554943308253
3102,ZCTA5 85147,1163,375,0,62,31,85,44,63,47,43,0,788,30,163,121,176,72,65,84,68,9,85147,193,0.16595012897678418
3103,ZCTA5 53186,13928,7655,107,1024,1102,1659,816,926,1148,651,222,6273,630,1681,1037,820,411,382,585,380,347,53186,2311,0.16592475588742103
3104,ZCTA5 60415,5159,2712,43,302,547,417,307,333,376,286,101,2447,107,749,493,565,126,104,211,74,18,60415,856,0.16592362861019577
3105,ZCTA5 38838,416,320,0,22,34,88,0,27,91,42,16,96,69,0,0,0,0,0,13,14,0,38838,69,0.1658653846153846
3106,ZCTA5 91801,19721,7044,29,437,1026,1697,830,846,1279,642,258,12677,496,2775,2973,2264,1137,638,1206,587,601,91801,3271,0.16586380001014148
3107,ZCTA5 97496,3087,1905,0,84,319,259,112,219,571,341,0,1182,161,351,130,175,65,77,108,99,16,97496,512,0.1658568189180434
3108,ZCTA5 63837,615,360,18,30,52,57,68,37,38,49,11,255,37,65,9,72,14,12,29,17,0,63837,102,0.16585365853658537
3109,ZCTA5 68933,404,303,33,31,17,46,27,35,69,37,8,101,28,39,14,13,0,0,5,2,0,68933,67,0.16584158415841585
3110,ZCTA5 07106,11339,3536,0,233,350,615,409,482,802,500,145,7803,426,1454,1772,1667,1059,522,462,305,136,7106,1880,0.16579945321456918
3111,ZCTA5 73860,573,415,7,42,43,110,37,55,58,47,16,158,43,52,20,19,0,13,4,0,7,73860,95,0.16579406631762653
3112,ZCTA5 93286,2859,1709,23,74,279,349,200,262,366,142,14,1150,76,398,226,153,68,75,80,49,25,93286,474,0.1657922350472193
3113,ZCTA5 70087,2908,1897,15,232,207,441,335,169,301,140,57,1011,141,341,239,183,38,6,63,0,0,70087,482,0.1657496561210454
3114,ZCTA5 37128,18737,12715,223,2040,2902,3067,1222,951,1497,660,153,6022,944,2161,1167,1021,281,49,272,73,54,37128,3105,0.16571489566099162
3115,ZCTA5 93930,4255,2163,0,241,427,519,264,210,332,126,44,2092,144,561,668,321,56,137,133,43,29,93930,705,0.16568742655699178
3116,ZCTA5 72756,15916,9696,120,889,1412,2108,1289,1001,1777,809,291,6220,517,2120,1250,1008,334,327,383,185,96,72756,2637,0.16568233224428247
3117,ZCTA5 63088,3851,2404,45,303,410,557,205,291,390,103,100,1447,160,478,171,93,38,87,33,189,198,63088,638,0.1656712542196832
3118,ZCTA5 23301,495,292,0,6,18,11,57,70,88,23,19,203,1,81,23,11,38,6,8,31,4,23301,82,0.16565656565656567
3119,ZCTA5 71446,8224,5072,49,479,782,1022,455,630,1031,401,223,3152,378,984,691,447,251,93,209,92,7,71446,1362,0.16561284046692606
3120,ZCTA5 93622,2820,1149,0,65,272,244,117,203,113,132,3,1671,105,362,367,276,110,161,153,124,13,93622,467,0.1656028368794326
3121,ZCTA5 71103,2482,938,6,31,90,71,119,108,253,195,65,1544,61,350,300,276,132,146,156,68,55,71103,411,0.16559226430298146
3122,ZCTA5 47943,308,145,0,0,66,15,15,30,11,8,0,163,0,51,19,93,0,0,0,0,0,47943,51,0.16558441558441558
3123,ZCTA5 45804,6197,3225,16,287,431,575,399,365,600,359,193,2972,270,756,500,571,287,169,177,176,66,45804,1026,0.16556398257221236
3124,ZCTA5 07208,10981,2874,0,136,470,731,478,221,565,233,40,8107,285,1533,1548,2133,781,601,800,327,99,7208,1818,0.165558692286677
3125,ZCTA5 02740,18303,7327,50,732,1011,1159,833,775,1473,773,521,10976,1019,2011,2032,2243,878,759,1041,531,462,2740,3030,0.16554663169972136
3126,ZCTA5 22030,19357,11753,44,957,2280,3142,1407,1331,1594,702,296,7604,919,2285,1940,1116,391,421,267,173,92,22030,3204,0.16552151676396135
3127,ZCTA5 78840,15257,9585,178,1100,1755,1866,732,804,1814,868,468,5672,807,1718,880,904,128,416,297,340,182,78840,2525,0.165497804286557
3128,ZCTA5 93219,2520,1082,0,78,208,312,133,147,119,60,25,1438,77,340,590,266,38,34,41,41,11,93219,417,0.16547619047619047
3129,ZCTA5 27953,417,227,7,0,12,69,28,16,83,12,0,190,0,69,58,38,4,21,0,0,0,27953,69,0.16546762589928057
3130,ZCTA5 06360,15009,7907,47,785,1021,1694,667,1065,1395,811,422,7102,335,2148,1241,1344,499,402,710,260,163,6360,2483,0.16543407288959958
3131,ZCTA5 75180,6202,3733,46,478,844,773,533,342,430,237,50,2469,202,824,576,401,57,194,150,36,29,75180,1026,0.1654305062882941
3132,ZCTA5 76119,14423,7367,152,841,1094,1603,577,711,1288,891,210,7056,534,1852,1660,1136,272,295,786,387,134,76119,2386,0.16543021562781668
3133,ZCTA5 11230,30572,9090,75,652,1240,1735,1003,1244,1748,959,434,21482,901,4155,4043,3544,1749,1484,2522,1698,1386,11230,5056,0.1653800863535261
3134,ZCTA5 98043,8316,4588,21,446,842,1013,595,593,719,250,109,3728,164,1211,816,486,310,212,278,117,134,98043,1375,0.16534391534391535
3135,ZCTA5 02905,8741,3957,54,363,636,823,536,600,715,138,92,4784,452,993,872,772,332,358,488,365,152,2905,1445,0.16531289326164053
3136,ZCTA5 32224,15868,9322,0,970,1996,2074,833,855,1379,964,251,6546,710,1912,1239,713,469,330,466,389,318,32224,2622,0.16523821527602722
3137,ZCTA5 30033,13194,7822,30,860,1198,1475,1053,646,1462,748,350,5372,529,1651,1074,793,284,457,288,117,179,30033,2180,0.1652266181597696
3138,ZCTA5 44301,6228,3671,22,381,582,753,374,374,717,309,159,2557,190,839,474,522,193,124,157,44,14,44301,1029,0.16522157996146436
3139,ZCTA5 62240,575,404,1,73,37,76,50,56,89,8,14,171,21,74,30,5,6,33,2,0,0,62240,95,0.16521739130434782
3140,ZCTA5 18508,5328,2782,35,308,420,610,239,253,489,251,177,2546,288,592,380,514,130,121,208,126,187,18508,880,0.16516516516516516
3141,ZCTA5 43054,9924,6933,48,702,2108,1961,499,431,830,259,95,2991,190,1449,603,333,43,223,59,74,17,43054,1639,0.16515517936316002
3142,ZCTA5 79241,878,586,0,41,100,81,77,74,116,74,23,292,52,93,54,55,0,3,27,8,0,79241,145,0.16514806378132119
3143,ZCTA5 90716,3809,1562,23,92,303,403,197,134,197,158,55,2247,114,515,513,509,72,57,270,150,47,90716,629,0.16513520609083748
3144,ZCTA5 78233,16920,9677,41,728,1690,2024,1125,1007,2002,820,240,7243,566,2228,1417,1290,413,434,724,124,47,78233,2794,0.16513002364066193
3145,ZCTA5 45439,3955,2204,4,366,302,481,172,256,318,218,87,1751,111,542,273,135,161,213,253,22,41,45439,653,0.16510745891276865
3146,ZCTA5 68132,5828,3034,0,475,538,602,413,304,437,223,42,2794,311,651,873,326,288,149,174,22,0,68132,962,0.16506520247083048
3147,ZCTA5 33873,4357,2659,11,67,433,707,241,344,416,305,135,1698,203,516,373,258,37,9,105,160,37,33873,719,0.16502180399357355
3148,ZCTA5 86004,13247,8345,55,875,1205,1791,988,1080,1562,637,152,4902,662,1524,1059,700,454,265,155,48,35,86004,2186,0.1650184947535291
3149,ZCTA5 33032,12314,6714,9,729,1959,1847,907,472,496,256,39,5600,167,1865,1830,906,195,352,190,76,19,33032,2032,0.16501542959233392
3150,ZCTA5 01970,18206,9162,44,1236,1560,1723,885,906,1696,781,331,9044,536,2468,1201,1701,933,669,852,412,272,1970,3004,0.1650005492694716
3151,ZCTA5 18509,4837,2447,4,152,396,430,327,282,398,274,184,2390,254,544,414,301,303,185,207,124,58,18509,798,0.1649782923299566
3152,ZCTA5 53506,485,337,0,25,31,74,34,39,84,41,9,148,30,50,20,7,5,6,19,9,2,53506,80,0.16494845360824742
3153,ZCTA5 20785,13999,6687,0,449,944,1566,914,733,1561,430,90,7312,336,1973,1644,1770,547,260,461,187,134,20785,2309,0.16494035288234873
3154,ZCTA5 34947,3991,1500,12,48,157,269,276,293,286,125,34,2491,101,557,742,532,167,146,191,34,21,34947,658,0.16487095965923326
3155,ZCTA5 66901,2596,1716,53,227,203,228,249,168,335,219,34,880,257,171,120,161,74,32,13,16,36,66901,428,0.16486902927580893
3156,ZCTA5 30079,1201,486,0,90,116,65,39,96,47,33,0,715,44,154,196,118,56,43,54,38,12,30079,198,0.16486261448792672
3157,ZCTA5 97225,11537,6157,17,302,1052,1410,636,699,1106,593,342,5380,448,1454,1162,849,255,186,419,331,276,97225,1902,0.1648608823784346
3158,ZCTA5 11415,8379,2999,50,210,612,726,305,359,479,166,92,5380,171,1210,1034,888,389,414,762,291,221,11415,1381,0.16481680391454828
3159,ZCTA5 29150,15477,8449,45,864,1002,1628,792,977,1724,1056,361,7028,838,1712,1077,1100,569,381,748,296,307,29150,2550,0.16476061252180654
3160,ZCTA5 64050,9112,4501,50,437,506,638,581,600,803,616,270,4611,546,955,676,808,490,336,576,136,88,64050,1501,0.16472783143107989
3161,ZCTA5 72904,7819,4376,70,464,907,898,500,444,663,283,147,3443,304,984,582,486,347,245,211,270,14,72904,1288,0.1647269471799463
3162,ZCTA5 80227,15087,9368,73,938,1270,1895,1132,1114,1606,1034,306,5719,494,1991,1000,949,324,384,241,198,138,80227,2485,0.16471134088950753
3163,ZCTA5 58301,4439,2569,23,341,378,531,231,290,518,207,50,1870,219,512,223,223,238,86,105,190,74,58301,731,0.16467672899301644
3164,ZCTA5 56379,6882,4637,34,813,1013,949,421,456,638,217,96,2245,333,800,254,305,114,77,150,121,91,56379,1133,0.16463237430979366
3165,ZCTA5 67846,11492,7004,124,980,1186,1465,808,705,1064,391,281,4488,632,1259,820,820,209,281,265,83,119,67846,1891,0.16454925165332404
3166,ZCTA5 90031,11621,3739,12,209,706,815,423,331,696,334,213,7882,190,1722,1838,1691,685,511,674,328,243,90031,1912,0.16452973066001206
3167,ZCTA5 13790,7671,4463,7,473,572,800,486,473,829,450,373,3208,362,900,342,478,235,235,198,251,207,13790,1262,0.16451570851257985
3168,ZCTA5 68854,383,305,12,49,26,51,88,22,36,17,4,78,44,19,2,0,2,0,11,0,0,68854,63,0.16449086161879894
3169,ZCTA5 71201,8767,4747,12,404,821,840,457,559,846,504,304,4020,479,963,707,592,326,407,293,209,44,71201,1442,0.16448043800615947
3170,ZCTA5 66078,456,363,0,39,51,73,55,44,55,28,18,93,0,75,0,0,2,0,16,0,0,66078,75,0.16447368421052633
3171,ZCTA5 44509,5175,2930,42,214,321,599,459,298,468,322,207,2245,266,585,585,280,133,180,113,48,55,44509,851,0.16444444444444445
3172,ZCTA5 20166,3942,2265,13,433,732,537,166,181,175,11,17,1677,120,528,546,214,84,59,126,0,0,20166,648,0.1643835616438356
3173,ZCTA5 92037,17064,9939,76,274,920,1778,1271,1095,2417,1482,626,7125,487,2318,1392,1073,389,276,624,306,260,92037,2805,0.16438115330520395
3174,ZCTA5 33403,4236,1905,19,84,281,434,276,187,315,218,91,2331,108,588,463,477,290,141,160,21,83,33403,696,0.1643059490084986
3175,ZCTA5 63851,1552,738,48,63,54,122,90,100,98,136,27,814,56,199,193,78,121,28,83,15,41,63851,255,0.1643041237113402
3176,ZCTA5 55901,22282,14944,262,2516,2756,2983,1601,1371,1968,1082,405,7338,1391,2269,986,787,360,194,421,372,558,55901,3660,0.1642581455883673
3177,ZCTA5 80228,14252,9346,78,722,1622,2312,1167,988,1604,642,211,4906,767,1574,850,641,378,378,175,55,88,80228,2341,0.16425764804939658
3178,ZCTA5 32506,14117,7673,27,846,1076,1513,975,700,1277,940,319,6444,432,1886,1249,1086,313,472,774,189,43,32506,2318,0.1641991924629879
3179,ZCTA5 15218,6792,3846,11,497,742,539,450,531,686,240,150,2946,121,994,467,448,280,256,198,154,28,15218,1115,0.16416372202591284
3180,ZCTA5 60432,6184,3311,102,326,840,832,234,322,360,228,67,2873,268,747,742,450,191,123,258,43,51,60432,1015,0.1641332470892626
3181,ZCTA5 63137,7129,3704,23,141,406,890,666,418,695,288,177,3425,301,869,738,613,417,89,195,112,91,63137,1170,0.1641183896759714
3182,ZCTA5 53226,8180,4970,22,775,749,881,487,595,736,417,308,3210,282,1060,553,246,134,128,325,175,307,53226,1342,0.16405867970660146
3183,ZCTA5 32609,6894,3993,137,398,480,950,468,444,727,291,98,2901,310,821,573,405,263,198,181,119,31,32609,1131,0.16405570060922542
3184,ZCTA5 32503,11984,7416,106,628,830,1117,932,1034,1335,947,487,4568,613,1353,862,755,368,98,321,121,77,32503,1966,0.1640520694259012
3185,ZCTA5 77049,10639,7076,35,957,2256,1501,783,613,618,313,0,3563,478,1267,772,550,281,56,89,70,0,77049,1745,0.16401917473446753
3186,ZCTA5 47342,1128,889,3,80,176,148,59,151,175,84,13,239,142,43,11,29,0,4,4,6,0,47342,185,0.16400709219858156
3187,ZCTA5 78749,15428,9615,35,1038,2224,2214,1242,1164,1143,341,214,5813,411,2119,1394,1084,298,144,232,83,48,78749,2530,0.16398755509463314
3188,ZCTA5 91202,8764,3138,11,143,381,688,456,322,604,352,181,5626,135,1302,1026,931,427,570,723,304,208,91202,1437,0.1639662254678229
3189,ZCTA5 41101,7576,4601,7,347,688,734,465,563,933,602,262,2975,389,853,500,458,208,119,253,127,68,41101,1242,0.16393875395987328
3190,ZCTA5 95573,665,383,0,44,37,37,29,93,61,51,31,282,0,109,91,11,0,49,0,22,0,95573,109,0.16390977443609023
3191,ZCTA5 44310,10301,4066,34,507,634,841,362,454,723,319,192,6235,600,1088,1198,1145,590,677,533,332,72,44310,1688,0.16386758567129406
3192,ZCTA5 58212,293,205,35,11,7,18,22,16,47,32,17,88,38,10,6,22,0,5,6,1,0,58212,48,0.16382252559726962
3193,ZCTA5 80819,409,267,0,13,16,26,20,62,100,30,0,142,3,64,5,18,10,15,20,7,0,80819,67,0.16381418092909536
3194,ZCTA5 06704,8987,3664,60,151,687,956,199,427,629,364,191,5323,289,1183,1266,1122,278,425,431,248,81,6704,1472,0.16379214420830088
3195,ZCTA5 72370,3151,1450,3,39,274,178,226,199,336,164,31,1701,152,364,398,339,134,67,169,46,32,72370,516,0.1637575372897493
3196,ZCTA5 72326,849,533,3,7,66,56,100,75,91,123,12,316,4,135,76,47,18,12,3,21,0,72326,139,0.16372202591283863
3197,ZCTA5 49930,2688,1601,32,128,261,353,149,240,319,108,11,1087,272,168,113,160,66,68,54,137,49,49930,440,0.1636904761904762
3198,ZCTA5 77642,13815,7454,49,960,1337,1536,902,876,1020,477,297,6361,529,1732,1297,1038,499,455,503,255,53,77642,2261,0.16366268548678972
3199,ZCTA5 95010,4095,2007,0,38,250,303,224,196,515,195,286,2088,71,599,438,263,187,150,267,90,23,95010,670,0.16361416361416362
3200,ZCTA5 77093,12591,7285,48,616,1330,1678,986,880,1118,512,117,5306,420,1640,1212,1061,386,172,328,76,11,77093,2060,0.16360892701135732
3201,ZCTA5 63114,14615,8209,110,669,1189,1666,1220,1064,1187,799,305,6406,564,1827,1160,1194,371,594,523,136,37,63114,2391,0.16359904208005474
3202,ZCTA5 25438,2598,1506,20,219,260,293,92,155,291,142,34,1092,72,353,181,156,89,81,107,20,33,25438,425,0.16358737490377212
3203,ZCTA5 75230,13237,8195,56,296,1099,1746,1006,1169,1542,932,349,5042,744,1421,768,602,281,205,444,245,332,75230,2165,0.16355669713681348
3204,ZCTA5 21017,2678,1802,0,378,282,402,190,212,251,87,0,876,105,333,95,135,67,64,36,13,28,21017,438,0.16355489171023152
3205,ZCTA5 31406,13452,7902,0,663,992,1523,953,1063,1595,818,295,5550,657,1543,1208,877,182,325,261,211,286,31406,2200,0.16354445435622955
3206,ZCTA5 30236,16186,8666,153,684,1277,2125,1076,988,1602,624,137,7520,566,2081,2248,1211,512,288,238,289,87,30236,2647,0.16353638947238355
3207,ZCTA5 79765,5272,3785,59,1270,779,462,257,386,391,169,12,1487,272,590,258,98,149,0,20,59,41,79765,862,0.16350531107739
3208,ZCTA5 75209,6636,4039,0,534,584,792,453,484,709,369,114,2597,205,880,323,455,322,187,129,96,0,75209,1085,0.16350210970464135
3209,ZCTA5 10507,2080,987,0,78,163,194,160,124,191,48,29,1093,0,340,312,200,39,32,53,102,15,10507,340,0.16346153846153846
3210,ZCTA5 44110,9018,3273,8,148,332,781,612,375,634,285,98,5745,333,1141,705,995,726,587,800,308,150,44110,1474,0.16345087602572633
3211,ZCTA5 76117,10270,5630,70,597,931,1172,518,662,974,498,208,4640,291,1387,1369,739,254,178,299,103,20,76117,1678,0.16338851022395326
3212,ZCTA5 30121,8497,4675,39,601,708,1172,529,299,707,437,183,3822,392,996,527,768,611,212,138,162,16,30121,1388,0.1633517712133694
3213,ZCTA5 36602,649,103,0,8,0,34,30,14,17,0,0,546,6,100,68,47,23,33,143,102,24,36602,106,0.1633281972265023
3214,ZCTA5 98372,9668,5609,11,467,865,1262,502,872,1011,494,125,4059,356,1223,645,631,365,249,270,252,68,98372,1579,0.16332230037236242
3215,ZCTA5 04988,790,550,4,150,56,71,71,53,79,46,20,240,64,65,20,20,25,8,28,10,0,4988,129,0.16329113924050634
3216,ZCTA5 45101,1029,550,0,40,81,69,75,112,78,89,6,479,55,113,61,50,54,34,39,55,18,45101,168,0.16326530612244897
3217,ZCTA5 80120,13702,7846,20,580,1030,1504,1068,1159,1392,841,252,5856,534,1703,1081,791,371,310,529,337,200,80120,2237,0.16326083783389286
3218,ZCTA5 56201,8895,5638,120,680,891,793,718,628,1019,614,175,3257,541,911,471,445,217,178,145,140,209,56201,1452,0.16323777403035414
3219,ZCTA5 19382,20120,14271,80,936,2387,3239,1741,1770,2774,977,367,5849,1845,1439,629,686,308,216,559,126,41,19382,3284,0.163220675944334
3220,ZCTA5 42120,962,643,0,0,123,125,53,146,102,83,11,319,7,150,57,24,8,6,30,37,0,42120,157,0.1632016632016632
3221,ZCTA5 76043,2776,1875,34,122,264,495,230,130,363,135,102,901,209,244,186,56,70,19,67,29,21,76043,453,0.16318443804034583
3222,ZCTA5 59601,13864,7721,14,615,1204,1282,840,1096,1680,668,322,6143,800,1462,817,936,426,499,639,215,349,59601,2262,0.16315637622619736
3223,ZCTA5 71647,895,579,0,75,71,126,97,18,97,57,38,316,31,115,91,21,27,22,9,0,0,71647,146,0.16312849162011173
