,NAME,Estimate!!Total,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from abroad,zip code tabulation area,Movers Total,%Movers
189,ZCTA5 37132,2387,140,853,247,85,37132,1325,0.5550900712191035
190,ZCTA5 30332,3115,869,376,265,219,30332,1729,0.5550561797752809
191,ZCTA5 32304,47629,14473,9526,1924,443,32304,26366,0.5535703038065044
192,ZCTA5 55414,34516,9538,5111,3375,1077,55414,19101,0.5533955267122493
193,ZCTA5 36112,320,0,0,148,29,36112,177,0.553125
194,ZCTA5 76311,8709,268,424,3886,231,76311,4809,0.5521873923527385
195,ZCTA5 49942,240,92,19,21,0,49942,132,0.55
196,ZCTA5 89054,40,0,0,22,0,89054,22,0.55
197,ZCTA5 01063,592,157,61,59,47,1063,324,0.5472972972972973
198,ZCTA5 96063,286,2,134,0,20,96063,156,0.5454545454545454
199,ZCTA5 88416,35,0,0,19,0,88416,19,0.5428571428571428
200,ZCTA5 65729,304,0,165,0,0,65729,165,0.5427631578947368
201,ZCTA5 28543,4850,824,181,1539,82,28543,2626,0.5414432989690722
202,ZCTA5 32202,6132,2613,396,231,72,32202,3312,0.5401174168297456
203,ZCTA5 95935,602,27,160,137,0,95935,324,0.5382059800664452
204,ZCTA5 05405,4327,345,291,1476,209,5405,2321,0.5363993529003929
205,ZCTA5 94704,29158,7076,5276,1733,1472,94704,15557,0.5335413951574182
206,ZCTA5 30905,7916,156,401,3372,278,30905,4207,0.531455280444669
207,ZCTA5 44308,943,188,234,70,9,44308,501,0.5312831389183457
208,ZCTA5 46204,7985,2975,735,444,83,46204,4237,0.5306199123356293
209,ZCTA5 64164,213,113,0,0,0,64164,113,0.5305164319248826
210,ZCTA5 35896,700,54,191,125,0,35896,370,0.5285714285714286
211,ZCTA5 88003,500,35,125,91,11,88003,262,0.524
212,ZCTA5 29905,3083,39,6,1508,62,29905,1615,0.5238404151800194
213,ZCTA5 49921,421,152,11,57,0,49921,220,0.5225653206650831
214,ZCTA5 02876,291,90,0,39,23,2876,152,0.5223367697594502
215,ZCTA5 29904,712,0,0,327,44,29904,371,0.5210674157303371
216,ZCTA5 39406,1971,124,484,284,133,39406,1025,0.5200405885337392
217,ZCTA5 70402,1904,96,869,23,0,70402,988,0.5189075630252101
218,ZCTA5 71466,660,309,33,0,0,71466,342,0.5181818181818182
219,ZCTA5 24168,361,182,0,5,0,24168,187,0.518005540166205
220,ZCTA5 83802,203,17,17,37,34,83802,105,0.5172413793103449
221,ZCTA5 15213,28004,6240,3785,3299,1156,15213,14480,0.5170689901442651
222,ZCTA5 45384,2053,56,613,348,43,45384,1060,0.5163175840233805
223,ZCTA5 14261,5736,382,2257,115,205,14261,2959,0.5158647140864714
224,ZCTA5 95041,353,0,182,0,0,95041,182,0.5155807365439093
225,ZCTA5 23884,33,8,6,3,0,23884,17,0.5151515151515151
226,ZCTA5 78705,33841,8899,5921,1835,740,78705,17395,0.5140214532667474
227,ZCTA5 86052,255,30,43,42,16,86052,131,0.5137254901960784
228,ZCTA5 73050,958,27,159,306,0,73050,492,0.5135699373695198
229,ZCTA5 93405,36462,10288,6974,1320,107,93405,18689,0.5125610224343152
230,ZCTA5 24011,443,71,74,65,17,24011,227,0.5124153498871332
231,ZCTA5 20057,3841,605,0,1157,206,20057,1968,0.5123665712054153
232,ZCTA5 02163,2401,159,128,571,372,2163,1230,0.51228654727197
233,ZCTA5 28533,3248,85,76,1288,213,28533,1662,0.5116995073891626
234,ZCTA5 13210,28067,6482,2660,3849,1364,13210,14355,0.5114547333167064
235,ZCTA5 79401,8196,2344,1487,264,92,79401,4187,0.5108589555880918
236,ZCTA5 79916,3039,130,275,687,457,79916,1549,0.5097071405067456
237,ZCTA5 31315,7264,787,801,1842,263,31315,3693,0.508397577092511
238,ZCTA5 04057,63,22,0,10,0,4057,32,0.5079365079365079
239,ZCTA5 72383,65,33,0,0,0,72383,33,0.5076923076923077
240,ZCTA5 85613,5332,111,49,2366,180,85613,2706,0.5075018754688673
241,ZCTA5 27917,720,327,5,32,0,27917,364,0.5055555555555555
242,ZCTA5 13602,3989,157,46,1280,531,13602,2014,0.5048884432188518
243,ZCTA5 88024,235,118,0,0,0,88024,118,0.502127659574468
244,ZCTA5 84606,35181,10081,1999,3563,1992,84606,17635,0.5012648872971206
245,ZCTA5 95053,3678,251,786,660,143,95053,1840,0.5002718868950516
246,ZCTA5 03575,80,0,0,40,0,3575,40,0.5
247,ZCTA5 61112,66,33,0,0,0,61112,33,0.5
248,ZCTA5 95724,20,5,5,0,0,95724,10,0.5
249,ZCTA5 97837,58,29,0,0,0,97837,29,0.5
250,ZCTA5 43523,20,0,0,0,10,43523,10,0.5
251,ZCTA5 88324,262,131,0,0,0,88324,131,0.5
252,ZCTA5 06350,42,21,0,0,0,6350,21,0.5
253,ZCTA5 90089,3862,524,481,683,242,90089,1930,0.4997410668047644
254,ZCTA5 35755,682,223,117,0,0,35755,340,0.49853372434017595
255,ZCTA5 78234,5346,372,294,1736,263,78234,2665,0.4985035540591096
256,ZCTA5 48933,2304,744,275,87,42,48933,1148,0.4982638888888889
257,ZCTA5 14853,2690,104,448,668,120,14853,1340,0.49814126394052044
258,ZCTA5 14588,679,0,322,16,0,14588,338,0.49779086892488955
259,ZCTA5 23551,880,111,39,257,31,23551,438,0.49772727272727274
260,ZCTA5 78419,763,86,67,211,15,78419,379,0.4967234600262123
261,ZCTA5 36115,947,29,54,349,38,36115,470,0.4963041182682154
262,ZCTA5 20615,329,111,25,27,0,20615,163,0.49544072948328266
263,ZCTA5 32403,3285,219,134,1039,234,32403,1626,0.4949771689497717
264,ZCTA5 01086,372,16,137,31,0,1086,184,0.4946236559139785
265,ZCTA5 45433,2734,115,269,909,59,45433,1352,0.49451353328456477
266,ZCTA5 45041,87,43,0,0,0,45041,43,0.4942528735632184
267,ZCTA5 32831,3280,193,1369,59,0,32831,1621,0.4942073170731707
268,ZCTA5 19550,561,62,73,142,0,19550,277,0.49376114081996436
269,ZCTA5 78215,2834,881,254,228,36,78215,1399,0.4936485532815808
270,ZCTA5 31409,701,14,53,191,88,31409,346,0.49358059914407987
271,ZCTA5 90024,50059,14055,5299,2214,3135,90024,24703,0.49347769631834437
272,ZCTA5 87117,361,0,0,158,20,87117,178,0.4930747922437673
273,ZCTA5 55402,408,101,20,62,18,55402,201,0.49264705882352944
274,ZCTA5 77840,59398,12513,12429,1937,2364,77840,29243,0.49232297383750295
275,ZCTA5 93262,63,16,15,0,0,93262,31,0.49206349206349204
276,ZCTA5 32072,299,0,97,50,0,32072,147,0.4916387959866221
277,ZCTA5 65305,3901,511,61,1145,200,65305,1917,0.49141245834401437
278,ZCTA5 22134,7284,421,164,2454,528,22134,3567,0.4897034596375618
279,ZCTA5 92278,4712,63,586,1357,297,92278,2303,0.4887521222410866
280,ZCTA5 44850,43,0,0,21,0,44850,21,0.4883720930232558
281,ZCTA5 99506,6672,904,261,1828,262,99506,3255,0.48785971223021585
282,ZCTA5 57197,936,61,130,232,33,57197,456,0.48717948717948717
283,ZCTA5 47901,3597,1264,239,185,63,47901,1751,0.4867945510147345
284,ZCTA5 37403,7193,1243,1736,416,103,37403,3498,0.48630613096065617
285,ZCTA5 12977,1849,54,706,105,33,12977,898,0.4856679286100595
286,ZCTA5 78075,206,0,100,0,0,78075,100,0.4854368932038835
287,ZCTA5 12821,2744,21,1305,3,3,12821,1332,0.48542274052478135
288,ZCTA5 41214,617,172,25,102,0,41214,299,0.4846029173419773
289,ZCTA5 63663,658,53,250,15,0,63663,318,0.48328267477203646
290,ZCTA5 70801,85,41,0,0,0,70801,41,0.4823529411764706
291,ZCTA5 88330,3795,356,79,949,445,88330,1829,0.4819499341238472
292,ZCTA5 78150,27,0,0,13,0,78150,13,0.48148148148148145
293,ZCTA5 02203,25,0,12,0,0,2203,12,0.48
294,ZCTA5 02542,898,86,45,299,0,2542,430,0.47884187082405344
295,ZCTA5 31814,234,79,33,0,0,31814,112,0.47863247863247865
296,ZCTA5 30284,90,15,0,28,0,30284,43,0.4777777777777778
297,ZCTA5 99163,34344,6437,5953,2942,1061,99163,16393,0.477317726531563
298,ZCTA5 50664,84,0,40,0,0,50664,40,0.47619047619047616
299,ZCTA5 41421,372,173,0,4,0,41421,177,0.47580645161290325
300,ZCTA5 85309,681,3,0,318,3,85309,324,0.47577092511013214
301,ZCTA5 37719,185,88,0,0,0,37719,88,0.4756756756756757
302,ZCTA5 92140,3669,81,250,1334,76,92140,1741,0.4745162169528482
303,ZCTA5 68102,7858,2187,591,866,81,68102,3725,0.4740391957241028
304,ZCTA5 81024,190,0,90,0,0,81024,90,0.47368421052631576
305,ZCTA5 21624,207,10,0,88,0,21624,98,0.47342995169082125
306,ZCTA5 11794,2952,202,864,127,201,11794,1394,0.4722222222222222
307,ZCTA5 03847,337,53,54,52,0,3847,159,0.47181008902077154
308,ZCTA5 44304,4986,1078,912,174,185,44304,2349,0.4711191335740072
309,ZCTA5 31699,684,18,2,258,44,31699,322,0.47076023391812866
310,ZCTA5 30322,2847,440,246,464,190,30322,1340,0.47067088162978576
311,ZCTA5 18913,68,32,0,0,0,18913,32,0.47058823529411764
312,ZCTA5 76701,1951,513,307,98,0,76701,918,0.4705279343926192
313,ZCTA5 22807,3216,65,1087,309,50,22807,1511,0.46983830845771146
314,ZCTA5 29733,1852,159,591,105,14,29733,869,0.46922246220302377
315,ZCTA5 31815,3672,44,565,454,658,31815,1721,0.46868191721132896
316,ZCTA5 25911,94,44,0,0,0,25911,44,0.46808510638297873
317,ZCTA5 46381,92,0,43,0,0,46381,43,0.4673913043478261
318,ZCTA5 40983,413,173,20,0,0,40983,193,0.46731234866828086
319,ZCTA5 92310,8757,293,344,3024,431,92310,4092,0.4672833162041795
320,ZCTA5 58705,525,0,0,245,0,58705,245,0.4666666666666667
